,full_text,full_text_eng,classification,classification naive bayes
0,ini alas 2024 dan wajib tinggal banteng bagai menang milu lalu 10 tahun kuasa 10 tahun menang milu 10 tahun kuasa dpr tidak uu persampaiasan aset jadi lalu kerja apa lalu sekarang suruh pilih gp,This is the base of 2024 and is obliged to live a bull like a wins then 10 years of 10 years of power to win the 10 year old MILU 10 Years of the Power of Staff of the DPR No Act of the Assets So then what work then now tell GP to choose GP ,Positif,Positif
1,kukar rabu 31012024 bhabinkamtibmas kel amburawang laut bripka taufiq fahrizal laksana sambang warga bhabinkamtibmas laksana sambang warga beri himbauan jaga kamtibmas jelang pesta demokrasi menciptidakan milu damai kondusif,Kukar Wednesday 31012024 Bhabinkamtibmas Kel Amburawang Laut Bripka Taufiq Fahrizal Like Sambang Residents Bhabinkamtibmas Like Sambang Residents Give an Appeal to Guard Kamtibmas Ahead ,Netral,Positif
2,kendali miskin atur daerah netralitas orang aparatur sipil negara asn jelang milu,Poor control regulates the neutrality of the ASN State Civil Apparatus ahead of MILU ,Negatif,Positif
3,babinsa koramil 140306wara kodim 1403palopo sertu awaluddin babinsa keltidakkalala laksana monitoring komsos sekertaris kpu palopo polres palopo kantor kpu palopo rangka sukses milu tahun 2024di kantor kpu kota palopo jlnpemudakota palopo,Babinsa Koramil 140306 Kodim 1403Palopo Sertu Awaluddin Babinsa Kelalalala Laksana Monitoring Komsos Secretary of Palopo Palopo Police Palopo Palopo KPU Office Success in 2024 In the Palopo City KPU Office Jlnpemudakota Palopo ,Positif,Positif
4,dukung limpah masyarakat menciptidakan energi positif bantu proses pilih dukung kebijakankebijakan cemerlang usung ganjar pranowo mahfud md,Supporting the Abundant Society Creates a positive energy helping the process of choosing to support the policies of the brilliant policy of the stretch of Ganjar Pranowo Mahfud MD ,Positif,Positif
5,ganjar pranowo prof mahfud md hanya jadi pelopor politik juga dunia sambut positif lebur dalam hidup seharihari,Ganjar Pranowo Prof Mahfud MD only became a political pioneer as well as a positive world welcomed in everyday life ,Positif,Positif
6,milu capres 2024 seru saling jatuh saling ngoyo boleh kompetisi cara gentelement hehe terkadang manusia sudah gelap mata teman jadi lawan saja cara profesional pancasila bhineka tunggal ika,MILU Candidate 2024 Exciting Falling Mutual NgoYo Mutual Mutual Could Be Competition How to Gentelement Hehe Sometimes Humans Are Dark Eyes Friends Just Opponents Just the Professional Way of Pancasila Bhineka Tunggal Ika ,Positif,Positif
7,penting jaga damai toleransi bangsa jelang milu 2024 jadi milu 2024 bagai panggung toleransi mana masyarakat saling jaga damai walaupun tengah beda melki pondok ranji uzbekistan becak guntur mancini warteg,It is important to maintain the peaceful tolerance of the nation ahead of MILU 2024 so MILU 2024 is like a stage of tolerance where people keep each other peacefully even though they are different from Melki Pondok Ranji Uzbekistan Guntur Mancini Warteg pedicab ,Positif,Positif
8,nasib partai demokrat sama kayak tim biru london club besar jadi klub medisetujur sama2 apes ga yang di di kompetisi milu season 20242029,The fate of the Democratic Party is the same as the London Big Clubs Blue Team to become a medical club ,Netral,Positif
9,rabu indonesia 31 januari milu presiden ri apbn bumn ikn nusantara 0 km 2024 reformasi selesai shp pin merah putih rp 1 m reformasi 09099909 asembagus 68373 sembilan sembilan situbondo tapal kuda jawa timur x y z,Wednesday 31 January January MILU President of the Republic of Indonesia APBN BUMN IKN Nusantara 0 Km 2024 Reformation Completed SHP Red and White Pin Rp ,Netral,Positif
10,bhabinkamtibmas polsek ciwandan laksana sambang patroli dialogis rangka hadap milu 2024 tetap jaga rukun antar warga masyarakat beda pilih tetap jaga persatuanuntuk ciptidakan banten aman,Bhabinkamtibmas Ciwandan Police Station like a dialogical patrol frame facing the MILU 2024 remaining in harmony between different citizens ,Netral,Positif
11,momentum positif dukung masyarakat jadi landas kokoh pilih makin kuat pikir dalam ganjar pranowo mahfud md,Positive momentum Supports the community to become a solid acid to choose stronger thinking in Ganjar Pranowo Mahfud MD ,Positif,Positif
